Participant,Session,Gender,Age,Condition,Block,Image,Type,Count,Learn_Block,Learn_Trial,Learn_Corr,Learn_RT,NF_Trial,Memory_Trial,Seen_Unseen,Memory_RT,NF_Corr,NF_RT,Memory_Corr,Avg_Block
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,65,2,32,0,1.613,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,32,2,33,0,1.852,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,33,2,34,0,1.481,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,66,2,35,0,0.485,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,34,2,36,0,0.926,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,67,2,37,1,1.061,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,68,2,38,1,0.761,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,35,2,39,0,0.817,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,34,2,40,1,1.734,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,69,2,41,1,1.245,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,36,2,42,0,1.184,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,70,2,43,1,0.983,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,72,2,45,1,0.754,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,35,2,46,1,1.146,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,36,2,47,1,1.116,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,NF,1991,Exception,1,NA,NA,NA,NA,1,NA,NA,NA,1,1.066,NA,0
{{181}},SONA,F,20.1,Early,NF,9999,Prototype,2,NA,NA,NA,NA,2,NA,NA,NA,1,1.842,NA,0
{{181}},SONA,F,20.1,Early,NF,1119,Prototype,3,NA,NA,NA,NA,3,NA,NA,NA,1,0.835,NA,0
{{181}},SONA,F,20.1,Early,NF,1991,Exception,2,NA,NA,NA,NA,4,NA,NA,NA,1,1.022,NA,0
{{181}},SONA,F,20.1,Early,NF,9919,RuleFollowing,1,NA,NA,NA,NA,5,NA,NA,NA,1,0.631,NA,0
{{181}},SONA,F,20.1,Early,NF,9119,RuleFollowing,2,NA,NA,NA,NA,6,NA,NA,NA,0,0.952,NA,0
{{181}},SONA,F,20.1,Early,NF,1111,Prototype,4,NA,NA,NA,NA,7,NA,NA,NA,1,0.736,NA,0
{{181}},SONA,F,20.1,Early,NF,1199,Exception,3,NA,NA,NA,NA,8,NA,NA,NA,0,0.601,NA,0
{{181}},SONA,F,20.1,Early,NF,1911,RuleFollowing,3,NA,NA,NA,NA,9,NA,NA,NA,1,0.801,NA,0
{{181}},SONA,F,20.1,Early,NF,1119,Prototype,5,NA,NA,NA,NA,10,NA,NA,NA,1,0.569,NA,0
{{181}},SONA,F,20.1,Early,NF,1199,Exception,4,NA,NA,NA,NA,12,NA,NA,NA,0,0.819,NA,0
{{181}},SONA,F,20.1,Early,NF,9919,RuleFollowing,4,NA,NA,NA,NA,13,NA,NA,NA,1,0.777,NA,0
{{181}},SONA,F,20.1,Early,NF,9999,Prototype,7,NA,NA,NA,NA,14,NA,NA,NA,1,0.486,NA,0
{{181}},SONA,F,20.1,Early,NF,1199,Exception,5,NA,NA,NA,NA,15,NA,NA,NA,0,0.885,NA,0
{{181}},SONA,F,20.1,Early,NF,1111,Prototype,8,NA,NA,NA,NA,16,NA,NA,NA,0,1.035,NA,0
{{181}},SONA,F,20.1,Early,NF,1199,Exception,6,NA,NA,NA,NA,17,NA,NA,NA,0,0.819,NA,0
{{181}},SONA,F,20.1,Early,NF,9119,RuleFollowing,5,NA,NA,NA,NA,18,NA,NA,NA,0,0.744,NA,0
{{181}},SONA,F,20.1,Early,NF,1111,Prototype,9,NA,NA,NA,NA,19,NA,NA,NA,1,0.583,NA,0
{{181}},SONA,F,20.1,Early,NF,9999,Prototype,10,NA,NA,NA,NA,20,NA,NA,NA,1,0.728,NA,0
{{181}},SONA,F,20.1,Early,NF,9919,RuleFollowing,6,NA,NA,NA,NA,21,NA,NA,NA,1,0.535,NA,0
{{181}},SONA,F,20.1,Early,NF,9191,RuleFollowing,7,NA,NA,NA,NA,22,NA,NA,NA,1,0.752,NA,0
{{181}},SONA,F,20.1,Early,NF,9991,Prototype,11,NA,NA,NA,NA,23,NA,NA,NA,1,0.714,NA,0
